beginline,endline,begincolumn,endcolumn,rule,ruleset,package,class,externalInfoUrl,priority,violation_Text,file_Id
"25","25","0","0","VariableNamingConventions","Naming","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/naming.html#VariableNamingConventions","1","\nOnly variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'use_level' is not final.\n",0
"60","60","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"60","60","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"76","76","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"76","76","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"109","109","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"109","109","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"125","125","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"125","125","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"158","158","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"158","158","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"174","174","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
